True_Class,Assigned_Class,Correct,Predicted_Score,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9
7,7,1,0.947837,0.000102,0.000000,0.000335,0.049704,0.000009,0.000389,0.000000,0.947837,0.000133,0.001492
2,2,1,0.963656,0.002555,0.000006,0.963656,0.000603,0.000000,0.010058,0.023105,0.000000,0.000016,0.000000
1,1,1,0.920197,0.000014,0.920197,0.031339,0.007345,0.003653,0.014883,0.006998,0.003488,0.008123,0.003961
0,0,1,0.980968,0.980968,0.000000,0.004094,0.000394,0.000004,0.000858,0.010925,0.001192,0.000343,0.001222
4,4,1,0.932017,0.002938,0.000001,0.013671,0.000026,0.932017,0.000107,0.003695,0.015055,0.005416,0.027075
1,1,1,0.901028,0.000025,0.901028,0.018072,0.020637,0.001073,0.001890,0.000364,0.029309,0.016799,0.010802
4,4,1,0.717396,0.000057,0.000002,0.000024,0.001353,0.717396,0.105751,0.001466,0.001864,0.154956,0.017131
9,9,1,0.696621,0.000000,0.116250,0.000359,0.028050,0.009139,0.147673,0.000215,0.000932,0.000761,0.696621
5,6,0,0.921059,0.002867,0.000000,0.000063,0.000000,0.061924,0.013960,0.921059,0.000000,0.000119,0.000007
9,9,1,0.829847,0.000011,0.000000,0.000000,0.000003,0.017473,0.000006,0.000001,0.142776,0.009883,0.829847
0,0,1,0.968059,0.968059,0.000000,0.011909,0.000414,0.000013,0.013474,0.000243,0.000000,0.005879,0.000010
6,6,1,0.961549,0.002031,0.000030,0.010860,0.000521,0.000114,0.000001,0.961549,0.000001,0.024842,0.000051
9,9,1,0.964582,0.000014,0.000000,0.000072,0.000834,0.011839,0.001513,0.000013,0.019629,0.001503,0.964582
0,0,1,0.932472,0.932472,0.000000,0.002559,0.000285,0.000139,0.004387,0.000005,0.000760,0.046754,0.012638
1,1,1,0.865174,0.000000,0.865174,0.011061,0.076792,0.000005,0.001754,0.002392,0.002391,0.012829,0.027603
5,5,1,0.885873,0.000829,0.000259,0.000169,0.096895,0.000256,0.885873,0.000928,0.000001,0.014789,0.000000
9,9,1,0.882141,0.000098,0.000000,0.000904,0.000077,0.064234,0.000032,0.000076,0.040731,0.011706,0.882141
7,7,1,0.806776,0.000704,0.000000,0.000497,0.191969,0.000022,0.000007,0.000000,0.806776,0.000010,0.000014
3,3,1,0.472397,0.000682,0.000000,0.175693,0.472397,0.010233,0.181982,0.063972,0.000013,0.095029,0.000000
4,4,1,0.931191,0.001659,0.000656,0.001360,0.004671,0.931191,0.014047,0.004947,0.003066,0.002937,0.035466
9,9,1,0.742813,0.000116,0.000001,0.000001,0.072386,0.071972,0.001708,0.000000,0.091570,0.019433,0.742813
6,6,1,0.947780,0.000155,0.000001,0.008433,0.000540,0.000168,0.038521,0.947780,0.000000,0.004374,0.000028
6,6,1,0.917406,0.000000,0.000001,0.005108,0.000010,0.071233,0.000001,0.917406,0.000430,0.005708,0.000102
5,5,1,0.924013,0.000569,0.000004,0.002301,0.001952,0.064314,0.924013,0.001712,0.000000,0.005093,0.000042
4,4,1,0.803764,0.003694,0.000014,0.024204,0.004671,0.803764,0.007846,0.004682,0.111218,0.000465,0.039444
0,0,1,0.865678,0.865678,0.000000,0.000006,0.000000,0.000012,0.000007,0.132771,0.000000,0.001524,0.000002
7,7,1,0.944114,0.000043,0.000000,0.000548,0.001728,0.000046,0.003292,0.000001,0.944114,0.000034,0.050192
4,4,1,0.944567,0.001076,0.000000,0.001317,0.000184,0.944567,0.006895,0.001530,0.002759,0.002882,0.038790
0,0,1,0.977892,0.977892,0.000000,0.013990,0.002262,0.000001,0.001269,0.000002,0.000137,0.003358,0.001089
1,1,1,0.856184,0.000001,0.856184,0.003183,0.013696,0.000304,0.059554,0.026448,0.001939,0.034161,0.004530
3,3,1,0.893277,0.000001,0.000010,0.000003,0.893277,0.000005,0.050965,0.000003,0.033263,0.000861,0.021613
1,1,1,0.806669,0.000003,0.806669,0.002265,0.088248,0.001479,0.026131,0.014656,0.037348,0.005017,0.018185
3,3,1,0.739248,0.000006,0.000002,0.000123,0.739248,0.002464,0.246584,0.000016,0.000002,0.011183,0.000372
4,4,1,0.552570,0.191272,0.000000,0.002033,0.000000,0.552570,0.002300,0.245942,0.000192,0.005224,0.000469
7,7,1,0.965165,0.000024,0.000000,0.005739,0.018673,0.000460,0.000268,0.000000,0.965165,0.001641,0.008030
2,2,1,0.892120,0.001328,0.000031,0.892120,0.000242,0.000007,0.103330,0.000003,0.000000,0.002939,0.000000
7,7,1,0.965582,0.000002,0.000000,0.002833,0.019102,0.000021,0.000317,0.000000,0.965582,0.002130,0.010014
1,1,1,0.917265,0.000000,0.917265,0.001862,0.009631,0.000077,0.027585,0.005376,0.011173,0.016575,0.010456
2,3,0,0.503983,0.071630,0.005811,0.288294,0.503983,0.000000,0.090328,0.010968,0.000036,0.021805,0.007146
1,1,1,0.760883,0.000003,0.760883,0.002341,0.043785,0.000010,0.005555,0.007782,0.000537,0.131231,0.047874
1,1,1,0.839978,0.000015,0.839978,0.028996,0.022261,0.001597,0.020242,0.015687,0.024867,0.002192,0.044166
7,7,1,0.812479,0.000326,0.000197,0.012853,0.041063,0.003355,0.012088,0.000111,0.812479,0.001464,0.116063
4,4,1,0.786851,0.000000,0.000091,0.000137,0.001037,0.786851,0.000463,0.000014,0.019173,0.023363,0.168873
2,2,1,0.879408,0.003988,0.000040,0.879408,0.014017,0.002085,0.003638,0.000739,0.000015,0.086468,0.009601
3,3,1,0.849183,0.000013,0.000218,0.007026,0.849183,0.000110,0.102616,0.027605,0.000315,0.009206,0.003708
5,5,1,0.800008,0.005381,0.000025,0.000177,0.121796,0.002641,0.800008,0.000319,0.000040,0.062973,0.006642
1,1,1,0.625061,0.000000,0.625061,0.009266,0.342008,0.001106,0.012491,0.001377,0.000051,0.007567,0.001072
2,2,1,0.970294,0.000003,0.001268,0.970294,0.004231,0.000000,0.000006,0.024095,0.000000,0.000098,0.000006
4,4,1,0.797605,0.000000,0.000000,0.000000,0.001264,0.797605,0.000525,0.000001,0.000055,0.082076,0.118473
4,4,1,0.961389,0.000646,0.000001,0.005055,0.000002,0.961389,0.000001,0.017476,0.004348,0.004049,0.007033
6,6,1,0.926951,0.017601,0.000001,0.012767,0.009047,0.000347,0.032165,0.926951,0.000000,0.001072,0.000048
3,3,1,0.994849,0.000982,0.000010,0.000472,0.994849,0.000166,0.001727,0.001597,0.000136,0.000056,0.000004
5,5,1,0.740344,0.017240,0.000439,0.000017,0.001517,0.238613,0.740344,0.000032,0.000084,0.001020,0.000693
5,5,1,0.761323,0.014986,0.000723,0.000049,0.031815,0.172373,0.761323,0.011124,0.000067,0.006678,0.000862
6,6,1,0.882870,0.000094,0.000000,0.116142,0.000000,0.000000,0.000000,0.882870,0.000000,0.000893,0.000000
0,0,1,0.704496,0.704496,0.000000,0.001572,0.001506,0.000207,0.083521,0.000272,0.000061,0.206382,0.001984
4,4,1,0.981407,0.001551,0.000000,0.000511,0.000190,0.981407,0.001222,0.001700,0.001987,0.009500,0.001932
1,1,1,0.833755,0.000004,0.833755,0.016504,0.030804,0.000741,0.003908,0.000766,0.062351,0.024244,0.026923
9,9,1,0.906835,0.000007,0.000000,0.000004,0.000026,0.059898,0.000157,0.000008,0.031743,0.001322,0.906835
5,5,1,0.613808,0.039216,0.004864,0.000569,0.001964,0.018620,0.613808,0.000002,0.312625,0.007786,0.000545
7,7,1,0.942934,0.000000,0.000000,0.000255,0.056800,0.000001,0.000000,0.000000,0.942934,0.000005,0.000004
8,2,0,0.552231,0.000296,0.000000,0.552231,0.000009,0.000053,0.000372,0.000149,0.000002,0.388340,0.058549
9,9,1,0.670414,0.000021,0.000003,0.009472,0.000985,0.189991,0.054812,0.007423,0.035005,0.031874,0.670414
3,2,0,0.778764,0.000236,0.000098,0.778764,0.193307,0.000051,0.000361,0.000249,0.000001,0.026278,0.000655
7,7,1,0.847120,0.000009,0.000000,0.000571,0.149900,0.001130,0.000000,0.000000,0.847120,0.000007,0.001262
4,4,1,0.599016,0.000328,0.008350,0.002023,0.089218,0.599016,0.131352,0.006615,0.001640,0.101818,0.059641
6,6,1,0.378560,0.002998,0.093226,0.243829,0.200190,0.044045,0.000362,0.378560,0.034529,0.002236,0.000026
4,4,1,0.933636,0.055988,0.000015,0.002755,0.000007,0.933636,0.000033,0.002301,0.000087,0.002833,0.002344
